lean_syntax,natural_language
Q ⊇ X,Set Q is a superset of set X
c ∈ S,The element c belongs to set S
(Q ∪ U)ᶜ = Qᶜ ∩ Uᶜ,The complement of the union of Q and U equals the intersection of their complements
z ∈ T ∩ S ↔ (z ∈ T ∧ z ∈ S),z belongs to the intersection of T and S if and only if z is in both T and S
Disjoint T Tᶜ,T and its complement are disjoint
T ∩ (B ∪ T) = (T ∩ B) ∪ (T ∩ T),Intersection distributes over union: T ∩ (B ∪ T) = (T ∩ B) ∪ (T ∩ T)
U ∩ Y,The intersection of sets U and Y
𝒫(V) = {S | S ⊆ V},The power set of V is the set of all subsets of V
y ∉ C,y is not a member of set C
B \ P,The set difference B minus P
{n : ℕ | n > 5},The set of all natural numbers greater than 5
"T × U = {(a, b) | a ∈ T ∧ b ∈ U}","The Cartesian product T × U is the set of all ordered pairs (a, b) where a ∈ T and b ∈ U"
"∀ x ∈ Y, P x","For all x in Y, property P holds"
n ∉ X,n is not a member of set X
∅ ⊆ U,The empty set is a subset of every set U
R ⊇ Y,Set R is a superset of set Y
k ∈ W,The element k belongs to set W
R ⊆ T,Every element of R belongs to T
m ∈ B ∪ P ↔ (m ∈ B ∨ m ∈ P),m is in B union P if and only if m is in B or m is in P
C ⊇ X,Set C is a superset of set X
"∀ S ⊆ B, Finite S","For all subsets S of B, S is finite"
R ⊇ B,Set R is a superset of set B
X × P,The Cartesian product of X and P
f : X → X,f maps X into X
y ∈ V ∩ Z ↔ (y ∈ V ∧ y ∈ Z),y belongs to the intersection of V and Z if and only if y is in both V and Z
{x : ℝ | x > 0},The set of all positive real numbers
(Rᶜ)ᶜ = R,Double complement of R is R
Y ⊆ A ∧ A ⊆ W → Y ⊆ W,"If Y ⊆ A and A ⊆ W, then Y ⊆ W"
{x : ℝ | 0 < x ∧ x < 1},The set of all real numbers between 0 and 1
∅ ⊆ S,The empty set is a subset of every set S
n ∈ T ∪ W ↔ (n ∈ T ∨ n ∈ W),n is in T union W if and only if n is in T or n is in W
"∀ x ∈ W, P x","For all x in W, property P holds"
W ∪ (W ∩ R) = W,Wbsorption law for union: W ∪ (W ∩ R) = W
T ⊆ Q,T is included in Q
U ⊆ Q,Set U is a subset of set Q
"Injective f → ∀ x y ∈ R, f x = f y → x = y","If f is injective, then for all x, y in R, f(x) = f(y) implies x = y"
{n : ℕ | n > 5},The set of all natural numbers greater than 5
"∀ x ∈ P, P x","For all x in P, property P holds"
V ∪ W,The union of sets V and W
"∀ S, S ⊆ P → S ∈ 𝒫(P)",Every subset of P is an element of the power set of P
"∃ S ⊆ S, S ≠ ∅",There exists a subset S of S that is non-empty
b ∈ A ∪ Q ↔ (b ∈ A ∨ b ∈ Q),b is in A union Q if and only if b is in A or b is in Q
U ∪ B,The union of sets U and B
y ∈ Z ∩ Q ↔ (y ∈ Z ∧ y ∈ Q),y belongs to the intersection of Z and Q if and only if y is in both Z and Q
R ⊇ P,Set R is a superset of set P
y ∈ Y ∩ R ↔ (y ∈ Y ∧ y ∈ R),y belongs to the intersection of Y and R if and only if y is in both Y and R
U ⊆ univ,Every set U is a subset of the universal set
Z ∈ 𝒫(Z),Z is in its own power set
v ∈ Rᶜ ↔ v ∉ R,v is in the complement of R if and only if v is not in R
S ⊆ S → Sᶜ ⊆ Sᶜ,"If S ⊆ S, then Sᶜ ⊆ Sᶜ"
c ∉ S,c is not a member of set S
Vᶜ,The complement of set V
Y ∪ (S ∩ C) = (Y ∪ S) ∩ (Y ∪ C),Union distributes over intersection: Y ∪ (S ∩ C) = (Y ∪ S) ∩ (Y ∪ C)
W ∩ T,The intersection of sets W and T
P ⊇ R,Set P is a superset of set R
"∀ x, x ∉ ∅",No element belongs to the empty set
z ∈ X,The element z belongs to set X
m ∈ R ∪ V ↔ (m ∈ R ∨ m ∈ V),m is in R union V if and only if m is in R or m is in V
"∃ x ∈ C, Q x",There exists an element x in C such that property Q holds
Y \ A,The set difference Y minus A
{x : ℝ | 0 < x ∧ x < 1},The set of all real numbers between 0 and 1
v ∈ V \ T,v is in V but not in T
