Maths,natural_language
A = W ↔ (A ⊆ W ∧ W ⊆ A),Two sets are equal if and only if they are subsets of each other
a ∈ X ∩ A ↔ (a ∈ X ∧ a ∈ A),a belongs to the intersection of X and A if and only if a is in both X and A
C ⊇ B,Set C is a superset of set B
Tᶜ,The complement of set T
{x : ℝ | 0 < x ∧ x < 1},The set of all real numbers between 0 and 1
Q ⊇ X,Set Q is a superset of set X
"∀ x, x ∉ ∅",The empty set has no elements
t ∉ Z,t is not a member of set Z
A ∩ A ⊆ A,The intersection of A and A is a subset of A
w ∉ X,w is not a member of set X
A ∩ Y,The intersection of sets A and Y
k ∈ Zᶜ ↔ k ∉ Z,k is in the complement of Z if and only if k is not in Z
A ⊆ R,A is contained in R
(X ∩ V)ᶜ = Xᶜ ∪ Vᶜ,The complement of the intersection of X and V equals the union of their complements
(W ∪ C)ᶜ = Wᶜ ∩ Cᶜ,The complement of the union of W and C equals the intersection of their complements
P ∪ C,The union of sets P and C
P ⊇ W,Set P is a superset of set W
X ∪ T,The union of sets X and T
Z ∈ 𝒫(Z),Z is in its own power set
"∀ x, x ∈ univ",Every element belongs to the universal set
m ∈ U ∪ Z ↔ (m ∈ U ∨ m ∈ Z),m is in U union Z if and only if m is in U or m is in Z
P ⊆ S,Set P is a subset of set S
y ∈ P ∪ U ↔ (y ∈ P ∨ y ∈ U),y is in P union U if and only if y is in P or y is in U
"{n : ℕ | ∃ k, n = 2 * k}",The set of all even natural numbers
(T ∩ P)ᶜ = Tᶜ ∪ Pᶜ,The complement of the intersection of T and P equals the union of their complements
Pᶜ,The complement of set P
R ⊇ U,Set R is a superset of set U
"∀ x ∈ Z, P x → Q x","For every element x in Z, if P(x) then Q(x)"
T = C ↔ (T ⊆ C ∧ C ⊆ T),Two sets are equal if and only if they are subsets of each other
T ∪ (T ∩ R) = T,Tbsorption law for union: T ∪ (T ∩ R) = T
W ⊇ B,Set W is a superset of set B
W ⊆ S → Sᶜ ⊆ Wᶜ,"If W ⊆ S, then Sᶜ ⊆ Wᶜ"
(Cᶜ)ᶜ = C,Double complement of C is C
U ∩ (U ∪ Q) = (U ∩ U) ∪ (U ∩ Q),Intersection distributes over union: U ∩ (U ∪ Q) = (U ∩ U) ∪ (U ∩ Q)
"∀ x ∈ P, P x","For all x in P, property P holds"
W ∩ B,The intersection of sets W and B
Vᶜ,The complement of set V
x ∉ Q,x is not a member of set Q
P ∩ P ⊆ P,The intersection of P and P is a subset of P
X ⊆ T,Set X is a subset of set T
Z ∪ (Z ∩ X) = Z,Zbsorption law for union: Z ∪ (Z ∩ X) = Z
P ∩ (R ∪ P) = (P ∩ R) ∪ (P ∩ P),Intersection distributes over union: P ∩ (R ∪ P) = (P ∩ R) ∪ (P ∩ P)
"∃ x ∈ W, Q x",There exists an element x in W such that property Q holds
Z ⊇ W,Set Z is a superset of set W
u ∈ Q ∪ A ↔ (u ∈ Q ∨ u ∈ A),u is in Q union A if and only if u is in Q or u is in A
R ∩ (Z ∪ T) = (R ∩ Z) ∪ (R ∩ T),Intersection distributes over union: R ∩ (Z ∪ T) = (R ∩ Z) ∪ (R ∩ T)
"{n : ℤ | ∃ k, n = 2 * k + 1}",The set of all odd integers
"∀ S, S ⊆ X → S ∈ 𝒫(X)",Every subset of X is an element of the power set of X
W ∩ (P ∪ Q) = (W ∩ P) ∪ (W ∩ Q),Intersection distributes over union: W ∩ (P ∪ Q) = (W ∩ P) ∪ (W ∩ Q)
"∀ x ∈ B, P x → Q x","For every element x in B, if P(x) then Q(x)"
Xᶜ,The complement of set X
"Injective f → ∀ x y ∈ V, f x = f y → x = y","If f is injective, then for all x, y in V, f(x) = f(y) implies x = y"
C ∪ Q,The union of sets C and Q
U ∩ P,The intersection of sets U and P
s ∈ X,The element s belongs to set X
y ∈ Q \ U,y is in Q but not in U
t ∈ Pᶜ ↔ t ∉ P,t is in the complement of P if and only if t is not in P
Pijective (f : U → P),f is bijective from U to P
C ∪ R,The union of sets C and R
S ⊆ Q → Qᶜ ⊆ Sᶜ,"If S ⊆ Q, then Qᶜ ⊆ Sᶜ"
v ∈ P ∪ Y ↔ (v ∈ P ∨ v ∈ Y),v is in P union Y if and only if v is in P or v is in Y
"∀ x, x ∈ univ",The universal set contains all elements
Y ∩ (B ∪ Z) = (Y ∩ B) ∪ (Y ∩ Z),Intersection distributes over union: Y ∩ (B ∪ Z) = (Y ∩ B) ∪ (Y ∩ Z)
Z ∪ U,The union of sets Z and U
Surjective (f : Y → Y),f is surjective from Y to Y
(R ∩ S)ᶜ = Rᶜ ∪ Sᶜ,The complement of the intersection of R and S equals the union of their complements
m ∈ Q ∩ X ↔ (m ∈ Q ∧ m ∈ X),m belongs to the intersection of Q and X if and only if m is in both Q and X
f '' U ⊆ T,The image of U under f is a subset of T
"∃ x ∈ V, Q x",There exists an element x in V such that property Q holds
W ⊆ R,Set W is a subset of set R
"∀ x, x ∈ univ",The universal set contains all elements
t ∈ S,The element t belongs to set S
y ∈ Z ∩ Q ↔ (y ∈ Z ∧ y ∈ Q),y belongs to the intersection of Z and Q if and only if y is in both Z and Q
Z ⊆ T ∧ T ⊆ Z → Z = T,"If Z is a subset of T and T is a subset of Z, then Z equals T"
W ⊇ S,Set W is a superset of set S
(R ∩ Y)ᶜ = Rᶜ ∪ Yᶜ,The complement of the intersection of R and Y equals the union of their complements
Qᶜ,The complement of set Q
C ⊆ B → Bᶜ ⊆ Cᶜ,"If C ⊆ B, then Bᶜ ⊆ Cᶜ"
S ⊆ V,S is included in V
𝒫(S) = {S | S ⊆ S},The power set of S is the set of all subsets of S
n ∈ Xᶜ ↔ n ∉ X,n is in the complement of X if and only if n is not in X
t ∈ R \ S,t is in R but not in S
T ⊇ P,Set T is a superset of set P
n ∈ V \ U,n is in V but not in U
b ∈ W \ C,b is in W but not in C
S ∪ P,The union of sets S and P
R ∩ (R ∪ R) = R,Rbsorption law for intersection: R ∩ (R ∪ R) = R
u ∈ S ∩ Y ↔ (u ∈ S ∧ u ∈ Y),u belongs to the intersection of S and Y if and only if u is in both S and Y
z ∈ S,The element z belongs to set S
"∀ x, x ∉ ∅",The empty set has no elements
T ∩ W,The intersection of sets T and W
"∀ x, x ∉ ∅",No element belongs to the empty set
U ∪ (U ∩ X) = (U ∪ U) ∩ (U ∪ X),Union distributes over intersection: U ∪ (U ∩ X) = (U ∪ U) ∩ (U ∪ X)
P ∩ (B ∪ P) = (P ∩ B) ∪ (P ∩ P),Intersection distributes over union: P ∩ (B ∪ P) = (P ∩ B) ∪ (P ∩ P)
Q \ T,The set difference Q minus T
Y ∩ R,The intersection of sets Y and R
𝒫(V) = {S | S ⊆ V},The power set of V is the set of all subsets of V
A ⊇ V,Set A is a superset of set V
W ∩ P,The intersection of sets W and P
𝒫(A) = {S | S ⊆ A},The power set of A is the set of all subsets of A
W ⊆ B ∧ B ⊆ Z → W ⊆ Z,"If W ⊆ B and B ⊆ Z, then W ⊆ Z"
t ∈ V ∩ X ↔ (t ∈ V ∧ t ∈ X),t belongs to the intersection of V and X if and only if t is in both V and X
"∀ x ∈ B, P x","For all x in B, property P holds"
"A × Q = {(a, b) | a ∈ A ∧ b ∈ Q}","The Cartesian product A × Q is the set of all ordered pairs (a, b) where a ∈ A and b ∈ Q"
