Symbolic_Maths,Natural_Language
A ⊆ R,A is a subset of R
A ⊆ S,A is a subset of S
A ⊆ V,A is a subset of V
A ⊆ X,A is a subset of X
A ⊆ Y,A is a subset of Y
A ∈ 𝒫(A),A is an element of its own power set
T ∩ (T ∪ P) = T,Absorption law for intersection: T ∩ (T ∪ P) = T
T ∩ (T ∪ R) = T,Absorption law for intersection: T ∩ (T ∪ R) = T
T ∩ (T ∪ U) = T,Absorption law for intersection: T ∩ (T ∪ U) = T
Z ∩ (Z ∪ B) = Z,Absorption law for intersection: Z ∩ (Z ∪ B) = Z
Z ∩ (Z ∪ Z) = Z,Absorption law for intersection: Z ∩ (Z ∪ Z) = Z
A ∪ (A ∩ U) = A,Absorption law for union: A ∪ (A ∩ U) = A
A ∪ (A ∩ Y) = A,Absorption law for union: A ∪ (A ∩ Y) = A
T ∪ (T ∩ R) = T,Absorption law for union: T ∪ (T ∩ R) = T
Z ∪ (Z ∩ B) = Z,Absorption law for union: Z ∪ (Z ∩ B) = Z
Z ∪ (Z ∩ R) = Z,Absorption law for union: Z ∪ (Z ∩ R) = Z
Z ∪ (Z ∩ X) = Z,Absorption law for union: Z ∪ (Z ∩ X) = Z
B ⊆ R,B is a subset of R
C ⊆ Q,C is a subset of Q
C ⊆ V,C is a subset of V
C ⊆ Z,C is a subset of Z
C ∈ 𝒫(C),C is an element of its own power set
C ∩ (C ∪ W) = C,Cbsorption law for intersection: C ∩ (C ∪ W) = C
(Aᶜ)ᶜ = A,Double complement of A is A
(Cᶜ)ᶜ = C,Double complement of C is C
(Pᶜ)ᶜ = P,Double complement of P is P
(Rᶜ)ᶜ = R,Double complement of R is R
(Tᶜ)ᶜ = T,Double complement of T is T
(Vᶜ)ᶜ = V,Double complement of V is V
(Wᶜ)ᶜ = W,Double complement of W is W
(Xᶜ)ᶜ = X,Double complement of X is X
(Zᶜ)ᶜ = Z,Double complement of Z is Z
"∀ x, x ∈ univ",Every element is an element of the universal set
B ⊆ P,Every element of B is an element of P
C ⊆ Z,Every element of C is an element of Z
P ⊆ S,Every element of P is an element of S
P ⊆ X,Every element of P is an element of X
Q ⊆ P,Every element of Q is an element of P
R ⊆ T,Every element of R is an element of T
R ⊆ W,Every element of R is an element of W
R ⊆ Z,Every element of R is an element of Z
S ⊆ V,Every element of S is an element of V
S ⊆ X,Every element of S is an element of X
T ⊆ B,Every element of T is an element of B
T ⊆ V,Every element of T is an element of V
U ⊆ T,Every element of U is an element of T
U ⊆ Y,Every element of U is an element of Y
W ⊆ V,Every element of W is an element of V
W ⊆ Z,Every element of W is an element of Z
X ⊆ T,Every element of X is an element of T
X ⊆ Z,Every element of X is an element of Z
Z ⊆ T,Every element of Z is an element of T
Z ⊆ V,Every element of Z is an element of V
Z ⊆ X,Every element of Z is an element of X
B ⊆ univ,Every set B is a subset of the universal set
C ⊆ univ,Every set C is a subset of the universal set
